River,Reach,Station,MAX_WL
Seomjin,boseong,2.000,43.043545
Seomjin,boseong,1.800,42.991249
Seomjin,boseong,1.600,42.952858
Seomjin,boseong,1.400,42.867367
Seomjin,boseong,1.200,42.811974
Seomjin,boseong,1.000,42.793549
Seomjin,boseong,0.800,42.753456
Seomjin,boseong,0.600,42.719948
Seomjin,boseong,0.400,42.705307
Seomjin,boseong,0.170,42.721531
Seomjin,boseong,0.000,42.770000
Seomjin,boseong,-1.000,42.798031
Seomjin,main_down,61.800,42.798031
Seomjin,main_down,61.667,41.562702
Seomjin,main_down,61.600,40.896957
Seomjin,main_down,61.400,40.651623
Seomjin,main_down,61.200,40.416008
Seomjin,main_down,61.000,40.237377
Seomjin,main_down,60.800,40.078602
Seomjin,main_down,60.600,39.924633
Seomjin,main_down,60.400,39.629616
Seomjin,main_down,60.200,39.080933
Seomjin,main_down,60.106,38.719658
Seomjin,main_down,60.000,38.774658
Seomjin,main_down,59.800,38.807011
Seomjin,main_down,59.600,38.727409
Seomjin,main_down,59.400,38.579674
Seomjin,main_down,59.200,38.240746
Seomjin,main_down,59.000,37.785042
Seomjin,main_down,58.800,37.343277
Seomjin,main_down,58.600,37.241467
Seomjin,main_down,58.400,37.387039
Seomjin,main_down,58.200,37.212418
Seomjin,main_down,58.000,36.887306
Seomjin,main_down,57.800,36.735130
Seomjin,main_down,57.600,36.603073
Seomjin,main_down,57.528,36.514954
Seomjin,main_down,57.400,36.455231
Seomjin,main_down,57.200,36.247921
Seomjin,main_down,57.000,36.068333
Seomjin,main_down,56.800,35.856434
Seomjin,main_down,56.600,35.558712
Seomjin,main_down,56.400,35.230778
Seomjin,main_down,56.200,34.723248
Seomjin,main_down,56.000,34.343761
Seomjin,main_down,55.800,34.185188
Seomjin,main_down,55.600,34.008209
Seomjin,main_down,55.400,33.800652
Seomjin,main_down,55.200,33.618210
Seomjin,main_down,55.127,33.492439
Seomjin,main_down,55.000,33.419605
Seomjin,main_down,54.920,33.473511
Seomjin,main_down,54.800,33.360542
Seomjin,main_down,54.600,33.141190
Seomjin,main_down,54.400,33.044518
Seomjin,main_down,54.200,32.861061
Seomjin,main_down,53.983,32.608864
Seomjin,main_down,53.800,32.502602
Seomjin,main_down,53.600,32.514534
Seomjin,main_down,53.400,32.514305
Seomjin,main_down,53.200,32.487801
Seomjin,main_down,53.108,32.375866
Seomjin,main_down,53.000,32.277962
Seomjin,main_down,52.917,32.277107
Seomjin,main_down,52.800,31.974651
Seomjin,main_down,52.600,31.493298
Seomjin,main_down,52.400,31.183462
Seomjin,main_down,52.200,31.018547
Seomjin,main_down,52.000,30.845581
Seomjin,main_down,51.800,30.579586
Seomjin,main_down,51.600,30.428293
Seomjin,main_down,51.400,30.362339
Seomjin,main_down,51.200,30.223780
Seomjin,main_down,51.000,30.077452
Seomjin,main_down,50.800,29.961754
Seomjin,main_down,50.600,29.841076
Seomjin,main_down,50.400,29.737820
Seomjin,main_down,50.247,29.622448
Seomjin,main_down,50.200,29.527763
Seomjin,main_down,50.000,29.453197
Seomjin,main_down,49.800,29.392399
Seomjin,main_down,49.600,29.327690
Seomjin,main_down,49.400,29.243895
Seomjin,main_down,49.200,29.160885
Seomjin,main_down,48.995,29.073387
Seomjin,main_down,48.842,29.033857
Seomjin,main_down,48.800,29.008791
Seomjin,main_down,48.600,28.923754
Seomjin,main_down,48.400,28.824234
Seomjin,main_down,48.200,28.745512
Seomjin,main_down,48.000,28.679108
Seomjin,main_down,47.800,28.647549
Seomjin,main_down,47.600,28.623344
Seomjin,main_down,47.555,28.571239
Seomjin,main_down,47.400,28.500652
Seomjin,main_down,47.276,28.425835
Seomjin,main_down,47.200,28.365376
Seomjin,main_down,47.000,28.312119
Seomjin,main_down,46.800,28.277349
Seomjin,main_down,46.600,28.154053
Seomjin,main_down,46.400,27.953541
Seomjin,main_down,46.200,27.871613
Seomjin,main_down,46.000,27.811295
Seomjin,main_down,45.800,27.616974
Seomjin,main_down,45.600,27.382275
